Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Armor2.0,Locked,Equipped,Year,Season,Event,Mobility,Resilience,Recovery,Discipline,Intellect,Strength,Total,Custom,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Custom (Base),Seasonal Mod,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Pyrrhic Ascent Cloak,1322042322,"""6917529612440583509""",,Legendary,Hunter Cloak,trials,Hunter,1532,,Arc Energy Capacity,3,Vault,true,true,false,4,14,,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,combatstyle,,Discipline Mod*,Upgrade Armor*,,,,,,,,,
Lost Pacific Cape,732149466,"""6917529749804896213""",,Legendary,Hunter Cloak,,Hunter,1530,,Arc Energy Capacity,3,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Medal Mantle,223597399,"""6917529738603237249""",,Legendary,Hunter Cloak,events,Hunter,1514,,Arc Energy Capacity,1,Vault,true,false,false,5,16,Guardian Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Icarus Drifter Mask,2567710435,"""6917529772397286080""",junk,Legendary,Helmet,legendaryengram,Hunter,1545,,Stasis Cost,1,Vault,true,false,false,3,11,,12,7,7,8,2,17,53,0,12,7,7,8,2,17,53,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Clutch Extol Mask,1767106452,"""6917529790952855749""",,Legendary,Helmet,crucible,Hunter,1553,,Stasis Cost,1,Vault,true,false,false,5,16,,10,17,2,2,17,7,55,0,10,17,2,2,17,7,55,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Clutch Extol Grips,597831725,"""6917529775318058723""",,Legendary,Gauntlets,crucible,Hunter,1543,,Solar Energy Capacity,1,Vault,true,false,false,5,16,,18,2,6,12,2,11,51,0,18,2,6,12,2,11,51,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Prodigal Cloak,3356846604,"""6917529756899140507""",,Legendary,Hunter Cloak,legendaryengram,Hunter,1535,,Void Energy Capacity,3,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Armamentarium,3874247549,"""6917529723976784194""",,Exotic,Chest Armor,,Titan,1515,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,8,8,17,15,10,7,65,0,8,8,17,15,10,7,65,0,combatstyle,,Change Energy Type*,*,*,*,*,And Another Thing*,,,,,
BrayTech Sn0Mask,620774353,"""6917529749812196251""",junk,Legendary,Helmet,,Hunter,1530,,Arc Energy Capacity,2,Vault,true,false,false,3,10,,13,7,7,2,19,6,54,0,13,7,7,2,19,6,54,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis,803939997,"""6917529748752848056""",,Rare,Gauntlets,campaign,Hunter,1531,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,9,8,33,0,0,0,50,0,9,8,33,0,0,0,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Prodigal Mask,3605448950,"""6917529751130573456""",infuse,Legendary,Helmet,legendaryengram,Hunter,1536,,Void Energy Capacity,4,Vault,true,false,false,4,15,,7,7,13,8,6,16,57,0,7,7,13,8,6,16,57,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Mythos Hack 4.1,1691784182,"""6917529751112333302""",,Rare,Leg Armor,campaign,Hunter,1533,,Void Energy Capacity,5,Vault,true,false,false,2,4,,16,2,6,6,10,6,46,0,16,2,6,6,10,6,46,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Iron Forerunner Mask,2255073244,"""6917529748366711791""",infuse,Legendary,Helmet,ironbanner,Hunter,1528,,Void Energy Capacity,2,Vault,true,true,false,4,15,,9,7,14,22,8,2,62,0,9,7,14,22,8,2,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Frumious Strides,20158663,"""6917529751124152584""",,Legendary,Leg Armor,ikora,Hunter,1539,,Arc Energy Capacity,1,Vault,true,false,false,4,12,,13,6,7,7,7,13,53,0,13,6,7,7,7,13,53,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Knucklehead Radar,1321354572,"""6917529528843520358""",,Exotic,Helmet,,Hunter,1539,,Void Energy Capacity,1,Vault,true,false,false,1,1,,3,21,7,2,2,25,60,0,3,21,7,2,2,25,60,0,combatstyle,,Rivalry Resolute*,Change Energy Type*,*,*,*,*,Nine Days/Nights*,Upgraded Sensor Pack*,,,
The Outlander's Heart,1701236611,"""6917529778262828761""",,Rare,Chest Armor,campaign,Hunter,1547,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,8,12,6,6,10,6,48,0,8,12,6,6,10,6,48,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Shadow Specter,3160437036,"""6917529751130572350""",,Rare,Gauntlets,campaign,Hunter,1532,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,12,2,12,7,6,10,49,0,12,2,12,7,6,10,49,0,,,Upgrade Armor*,*,*,*,*,,,,,,
War Mantis,4155348771,"""6917529775401259744""",,Rare,Chest Armor,campaign,Hunter,1545,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,12,2,12,6,2,16,50,0,12,2,12,6,2,16,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Fr0st-EE5,609852545,"""6917529667939701888""",,Exotic,Leg Armor,,Hunter,1509,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,11,16,7,7,21,7,69,0,11,16,7,2,21,7,64,0,combatstyle,,Minor Discipline Mod*,Change Energy Type*,*,*,*,*,Rapid Cooldown*,,,,
Mythos Hack 4.1,747210772,"""6917529755654138022""",,Rare,Chest Armor,campaign,Hunter,1534,,Void Energy Capacity,5,Vault,true,false,false,2,4,,12,2,12,6,6,10,48,0,12,2,12,6,6,10,48,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Ophidia Spathe,978537162,"""6917529738766007653""",,Exotic,Chest Armor,,Hunter,1521,,Arc Energy Capacity,3,Vault,true,false,false,1,3,,10,2,22,15,2,11,62,0,10,2,22,15,2,11,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Scissor Fingers*,,,,,
Gumshoe Gumption Grips,2120302383,"""6917529755640739292""",,Rare,Gauntlets,campaign,Hunter,1533,,Void Energy Capacity,5,Vault,true,false,false,5,16,,6,6,10,12,2,12,48,0,6,6,10,12,2,12,48,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Mythos Hack 4.1,2159062493,"""6917529755661546913""",,Rare,Helmet,campaign,Hunter,1535,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,6,11,6,6,2,16,47,0,6,11,6,6,2,16,47,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Lucky Pants,193869522,"""6917529635912084001""",,Exotic,Leg Armor,,Hunter,1358,,Void Energy Capacity,1,Vault,true,true,false,1,1,,7,7,10,12,6,6,48,0,7,7,10,12,6,6,48,0,combatstyle,,Change Energy Type*,*,*,*,*,Illegally Modded Holster*,Hand Cannon Holster*,,,,
Icarus Drifter Vest,1399263478,"""6917529696699030765""",junk,Legendary,Chest Armor,legendaryengram,Hunter,1515,,Stasis Cost,2,Vault,true,false,false,3,11,,10,2,10,15,7,7,51,0,10,2,10,15,7,7,51,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Iron Forerunner Grips,3651424085,"""6917529745641510463""",junk,Legendary,Gauntlets,ironbanner,Hunter,1519,,Solar Energy Capacity,1,Vault,true,false,false,4,15,,2,11,14,14,14,2,57,0,2,11,14,14,14,2,57,0,combatstyle,,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,,
Gemini Jester,1163283805,"""6917529732452676164""",,Exotic,Leg Armor,,Hunter,1516,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,12,18,2,22,6,2,62,0,12,18,2,22,6,2,62,0,combatstyle,,Change Energy Type*,*,*,*,*,Misdirection*,,,,,
Red Moon Phantom Steps,1649776522,"""6917529492916950847""",,Legendary,Leg Armor,legendaryengram,Hunter,1350,,Void Energy Capacity,3,Vault,true,true,false,4,13,,12,10,10,7,14,10,63,0,12,10,10,7,14,10,63,0,combatstyle,,Precursor Vex Chrome*,Upgrade Armor*,*,*,*,*,Pyrrhic Ascent Strides*,,,,
Sealed Ahamkara Grasps,1688602431,"""6917529676355491289""",,Exotic,Gauntlets,,Hunter,1510,,Arc Energy Capacity,1,Vault,true,false,false,1,3,,7,11,6,6,2,16,48,0,7,11,6,6,2,16,48,0,combatstyle,,Change Energy Type*,*,*,*,*,Nightmare Fuel*,,,,,
Iron Forerunner Strides,932578999,"""6917529745672657758""",,Legendary,Leg Armor,ironbanner,Hunter,1521,,Arc Energy Capacity,3,Vault,true,false,false,4,15,,18,6,7,8,21,2,62,0,18,6,7,8,21,2,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Orpheus Rig,193869523,"""6917529551859195972""",,Exotic,Leg Armor,,Hunter,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,17,12,2,9,14,9,63,0,17,12,2,9,14,9,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Uncanny Arrows*,,,,,
Holdfast Cloak,3673831673,"""6917529609762514407""",,Legendary,Hunter Cloak,seasonpass,Hunter,1350,,Void Energy Capacity,2,Vault,true,true,false,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Mercurian Sunrise*,Upgrade Armor*,,,,,,,,,
Lucky Raspberry,903984858,"""6917529610395176738""",,Exotic,Chest Armor,,Hunter,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,17,15,2,16,11,2,63,0,17,15,2,16,11,2,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Probability Matrix*,,,,,
Bond of Chiron,320174990,"""6917529584130287486""",,Rare,Warlock Bond,campaign,Warlock,1350,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Raiden Flux,2766109872,"""6917529542785018472""",,Exotic,Chest Armor,,Hunter,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,17,13,2,9,13,7,61,0,17,13,2,9,13,7,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Synapse Junctions*,,,,,
Raiju's Harness,2268523867,"""6917529558295125060""",,Exotic,Chest Armor,,Hunter,1350,,Stasis Cost,2,Vault,true,false,false,3,10,,11,10,12,8,12,9,62,0,11,10,12,8,12,9,62,0,combatstyle,,Upgrade Armor*,*,*,*,*,Mobius Conduit*,,,,,
Raiden Flux,419976110,"""6917529040119784716""",,Exotic,Chest Armor,,Hunter,1350,,,,Vault,false,false,false,1,1,,10,20,0,5,5,10,50,0,10,10,0,5,5,10,40,0,,,Synapse Junctions*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Auto Rifle Aim*,Primary Ammo Finder*,*,,,,,
Iron Forerunner Strides,932578999,"""6917529748710271220""",,Legendary,Leg Armor,ironbanner,Hunter,1528,,Solar Energy Capacity,1,Vault,true,true,false,4,15,,16,7,9,16,7,8,63,0,16,7,9,16,7,8,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,,
Orobas Vectura Bond,2866378041,"""6917529584165147121""",,Rare,Warlock Bond,adventure,Warlock,1350,,Arc Energy Capacity,5,Vault,true,false,false,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Stagnatious Rebuke,1988790493,"""6917529584411080686""",,Rare,Warlock Bond,campaign,Warlock,1350,,Void Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Lucky Pants,193869522,"""6917529533942714489""",favorite,Exotic,Leg Armor,,Hunter,1519,,Solar Energy Capacity,1,Vault,true,true,false,1,1,,7,17,9,12,20,2,67,0,7,17,9,12,20,2,67,0,combatstyle,,Recuperation*,Time-Honored*,Change Energy Type*,*,*,*,*,Illegally Modded Holster*,Hand Cannon Holster*,,
Aeon Swift,3942036043,"""6917529602243026849""",,Exotic,Gauntlets,,Hunter,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,2,,3,21,8,2,21,10,65,0,3,21,8,2,21,10,65,0,combatstyle,,Change Energy Type*,*,*,*,*,Sect of Force*,,,,,
Shinobu's Vow,1053737370,"""6917529575107871883""",,Exotic,Gauntlets,,Hunter,1350,,Arc Energy Capacity,1,Vault,true,true,false,1,2,,3,20,9,12,16,2,62,0,3,20,9,12,16,2,62,0,combatstyle,,Change Energy Type*,*,*,*,*,New Tricks*,,,,,
Mechaneer's Tricksleeves,1734144409,"""6917529564049720279""",,Exotic,Gauntlets,,Hunter,1350,,Solar Energy Capacity,1,Vault,true,true,false,1,1,,4,7,22,15,8,8,64,0,4,7,22,15,8,8,64,0,combatstyle,,Change Energy Type*,*,*,*,*,Spring-Loaded Mounting*,,,,,
Prime Zealot Strides,129332559,"""6917529679901573897""",,Legendary,Leg Armor,vog,Hunter,1513,,Stasis Cost,1,Vault,true,true,false,4,14,,10,15,7,2,23,8,65,0,10,15,7,2,23,8,65,0,"combatstyle,vaultofglass",,Gloamstrife*,Change Energy Type*,*,*,*,*,,,,,
Errant Knight 1.0,3166972772,"""6917529748735302151""",,Legendary,Leg Armor,legendaryengram,Hunter,1531,,Solar Energy Capacity,3,Vault,true,false,false,4,12,,11,2,10,2,7,18,50,0,11,2,10,2,7,18,50,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Wormhusk Crown,3562696927,"""6917529571079648938""",,Exotic,Helmet,,Hunter,1350,,Arc Energy Capacity,2,Vault,true,false,false,1,3,,12,10,11,7,17,6,63,0,12,10,11,7,17,6,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Burning Souls*,,,,,
Celestial Nighthawk,1667080810,"""6917529040272640702""",,Exotic,Helmet,,Hunter,1350,,,,Vault,false,false,false,1,1,,10,20,0,5,5,10,50,0,10,10,0,5,5,10,40,0,,,Always North*,Hawkeye Hack*,Plasteel Reinforcement Mod*,Restorative Mod,Pulse Rifle Targeting*,Special Ammo Finder*,*,,,,
Foetracer,896224899,"""6917529511694850008""",,Exotic,Helmet,,Hunter,1350,,Solar Energy Capacity,1,Vault,true,false,false,1,1,,18,15,2,10,10,11,66,0,18,15,2,10,10,11,66,0,combatstyle,,Change Energy Type*,*,*,*,*,Relentless Tracker*,,,,,
Icarus Drifter Legs,4064910796,"""6917529676197562989""",,Legendary,Leg Armor,legendaryengram,Hunter,1512,,Void Energy Capacity,2,Vault,true,false,false,3,11,,12,6,12,12,6,12,60,0,12,6,12,12,6,12,60,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Helmet,2381337281,"""6917529758349684980""",junk,Legendary,Helmet,drifter,Hunter,1534,,Void Energy Capacity,1,Vault,true,false,false,5,16,,13,2,12,17,6,2,52,0,13,2,12,17,6,2,52,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Winter's Guile,3844826443,"""6917529610395177055""",,Exotic,Gauntlets,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,2,2,27,2,26,2,61,0,2,2,27,2,26,2,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Warlord's Sigil*,,,,,
Mask of the Quiet One,3883866764,"""6917529610395172448""",,Exotic,Helmet,,Titan,1350,,Void Energy Capacity,1,Vault,true,false,false,1,1,,15,16,2,16,7,9,65,0,15,16,2,16,7,9,65,0,combatstyle,,Change Energy Type*,*,*,*,*,Dreaded Visage*,,,,,
Actium War Rig,1591207518,"""6917529758410559810""",,Exotic,Chest Armor,,Titan,1537,,Arc Energy Capacity,1,Vault,true,false,false,1,1,,7,3,20,6,9,16,61,0,7,3,20,6,9,16,61,0,combatstyle,,Change Energy Type*,*,*,*,*,Auto-Loading Link*,,,,,
Iron Forerunner Strides,932578999,"""6917529772297902764""",,Legendary,Leg Armor,ironbanner,Hunter,1541,,Stasis Cost,4,Vault,true,false,false,4,15,,12,17,2,8,16,8,63,0,12,17,2,8,16,8,63,0,combatstyle,,Upgrade Armor*,*,*,*,*,Iron Lord's Pride*,,,,,
Gumshoe Gumption Cloak,2282780740,"""6917529756899142190""",,Rare,Hunter Cloak,campaign,Hunter,1535,,Solar Energy Capacity,5,Vault,true,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Upgrade Armor*,,,,,,,,,,
Clutch Extol Vest,2969535443,"""6917529748735298508""",junk,Legendary,Chest Armor,crucible,Hunter,1528,,Stasis Cost,5,Vault,true,false,false,5,16,,6,7,12,2,10,10,47,0,6,7,12,2,10,10,47,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Mindbreaker Boots,2025523685,"""6917529770716916436""",,Rare,Leg Armor,adventure,Hunter,1539,,Void Energy Capacity,5,Vault,true,false,false,1,1,,10,2,10,6,10,8,46,0,10,2,10,6,10,8,46,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Vest,3934586864,"""6917529749846058329""",junk,Legendary,Chest Armor,drifter,Hunter,1529,,Solar Energy Capacity,4,Vault,true,false,false,5,16,,13,8,6,7,9,11,54,0,13,8,6,7,9,11,54,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Retro-Grade TG2,2783831726,"""6917529539454319684""",,Legendary,Helmet,legendaryengram,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,4,15,,14,12,2,16,10,2,56,0,14,12,2,16,10,2,56,0,combatstyle,,Precursor Vex Chrome*,Change Energy Type*,*,*,*,*,Wild Hunt Helm*,,,,
Ego Talon IV,2612983587,"""6917529539474944518""",,Legendary,Helmet,ikora,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,4,12,,2,18,7,8,13,7,55,0,2,18,7,8,13,7,55,0,combatstyle,,Precursor Vex Chrome*,Change Energy Type*,*,*,*,*,,,,,
Thorium Holt Hood,1592984110,"""6917529584381340896""",,Legendary,Helmet,legendaryengram,Warlock,1350,,Solar Energy Capacity,2,Vault,true,false,false,4,13,,2,13,12,17,2,9,55,0,2,13,12,17,2,9,55,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Anti-Extinction Hood,245450812,"""6917529584130287918""",,Legendary,Helmet,do,Warlock,1350,,Stasis Cost,2,Vault,true,false,false,3,10,,8,17,2,2,18,6,53,0,8,17,2,2,18,6,53,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
High-Minded Complex,1800940324,"""6917529493577512067""",,Legendary,Helmet,legendaryengram,Warlock,1350,,Stasis Cost,5,Vault,true,false,false,4,15,,16,2,12,12,2,12,56,0,16,2,12,12,2,12,56,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Opulent Scholar Robes,3981949974,"""6917529539467806444""",,Legendary,Chest Armor,,Warlock,1350,,Arc Energy Capacity,1,Vault,true,false,false,4,15,,9,13,7,6,14,9,58,0,9,13,7,6,14,9,58,0,combatstyle,,Rustberry*,Change Energy Type*,*,*,*,*,,,,,
Insight Vikti Robes,2364041279,"""6917529597983742179""",,Legendary,Chest Armor,legendaryengram,Warlock,1350,,Void Energy Capacity,1,Vault,true,false,false,3,11,,11,10,6,6,2,22,57,0,11,10,6,6,2,22,57,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Road Complex AA1,2932691109,"""6917529758355437348""",junk,Legendary,Helmet,legendaryengram,Hunter,1535,,Stasis Cost,2,Vault,true,false,false,4,15,,10,2,18,6,17,2,55,0,10,2,18,6,17,2,55,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Anti-Extinction Plate,1557512974,"""6917529545570412880""",,Legendary,Chest Armor,do,Titan,1350,,Solar Energy Capacity,2,Vault,true,false,false,3,10,,2,10,17,14,2,11,56,0,2,10,17,14,2,11,56,0,combatstyle,,Mercurian Sunrise*,Upgrade Armor*,*,*,*,*,,,,,
High-Minded Complex,3689406239,"""6917529538986144595""",,Legendary,Leg Armor,legendaryengram,Warlock,1350,,Solar Energy Capacity,2,Vault,true,false,false,4,15,,2,2,23,7,2,17,53,0,2,2,23,7,2,17,53,0,combatstyle,,Precursor Vex Chrome*,Upgrade Armor*,*,*,*,*,Meridian Constellation Pants*,,,,
Wise Warlock Boots,3471587229,"""6917529039832576234""",,Common,Leg Armor,,Warlock,1350,,,,Vault,false,false,false,1,1,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,
Entanglement Bond,2657180960,"""6917529545524722539""",,Legendary,Warlock Bond,fwc,Warlock,1350,,Solar Energy Capacity,1,Vault,true,false,false,3,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Synaptic Construct,3611199822,"""6917529584171161005""",,Legendary,Warlock Bond,legendaryengram,Warlock,1350,,Solar Energy Capacity,3,Vault,true,false,false,3,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Philomath Bond,3475929306,"""6917529538969849430""",,Legendary,Warlock Bond,legendaryengram,Warlock,1350,,Void Energy Capacity,1,Vault,true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Wise Warlock Bond,1331814296,"""6917529039838628569""",,Common,Warlock Bond,,Warlock,1350,,,,Vault,false,false,false,1,1,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,
Opulent Duelist Mark,731561450,"""6917529539467804384""",,Legendary,Titan Mark,,Titan,1350,,Arc Energy Capacity,1,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Bloody Tooth*,Change Energy Type*,,,,,,,,,
Icarus Drifter Mask,2567710435,"""6917529749869162794""",keep,Legendary,Helmet,legendaryengram,Hunter,1530,,Arc Energy Capacity,1,Vault,true,true,false,3,11,,12,7,14,11,2,15,61,0,12,7,14,11,2,15,61,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Iron Forerunner Mask,2255073244,"""6917529745661905537""",keep,Legendary,Helmet,ironbanner,Hunter,1521,,Void Energy Capacity,1,Vault,true,true,false,4,15,,16,6,10,2,2,26,62,0,16,6,10,2,2,26,62,0,combatstyle,,Reef Regalia*,Change Energy Type*,*,*,*,*,Iron Lord's Pride*,,,,
Mythos Hack 4.1,1691784182,"""6917529778268813443""",,Rare,Leg Armor,campaign,Hunter,1546,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,17,6,2,6,10,6,47,0,17,6,2,6,10,6,47,0,,,Metallic Sunset*,Upgrade Armor*,*,*,*,*,,,,,
Holeshot Cloak,2751794832,"""6917529770828816826""",,Legendary,Hunter Cloak,,Hunter,1540,,Void Energy Capacity,2,Vault,true,false,false,4,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Icarus Drifter Legs,4064910796,"""6917529778257404907""",,Legendary,Leg Armor,legendaryengram,Hunter,1545,,Arc Energy Capacity,1,Vault,true,false,false,3,11,,16,6,2,2,12,12,50,0,16,6,2,2,12,12,50,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Clutch Extol Cloak,921467658,"""6917529772117736625""",,Legendary,Hunter Cloak,crucible,Hunter,1539,,Solar Energy Capacity,1,Vault,true,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Prodigal Strides,3562245001,"""6917529775306858939""",,Legendary,Leg Armor,legendaryengram,Hunter,1549,,Arc Energy Capacity,1,Vault,true,true,false,4,15,,12,7,6,6,2,17,50,0,12,7,6,6,2,17,50,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
Dead End Cure 2.1,2805231813,"""6917529778511832895""",,Legendary,Leg Armor,legendaryengram,Hunter,1549,,Solar Energy Capacity,1,Vault,true,false,false,4,15,,7,13,6,10,6,13,55,0,7,13,6,10,6,13,55,0,combatstyle,,Change Energy Type*,*,*,*,*,,,,,,
The Outlander's Steps,3880804895,"""6917529778480706392""",,Rare,Leg Armor,campaign,Hunter,1548,,Void Energy Capacity,5,Vault,true,false,false,2,4,,12,2,12,12,6,6,50,0,12,2,12,12,6,6,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Shadow Specter,4230626646,"""6917529790903176302""",,Rare,Leg Armor,campaign,Hunter,1549,,Arc Energy Capacity,5,Vault,true,false,false,2,4,,12,12,2,6,2,16,50,0,12,12,2,6,2,16,50,0,,,Upgrade Armor*,*,*,*,*,,,,,,
Iron Forerunner Cloak,4266736482,"""6917529772286752611""",,Legendary,Hunter Cloak,ironbanner,Hunter,1541,,Arc Energy Capacity,2,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,Iron Lord's Pride*,,,,,,,,,
Iron Forerunner Cloak,4266736482,"""6917529772286754002""",,Legendary,Hunter Cloak,ironbanner,Hunter,1548,,Solar Energy Capacity,5,Vault,true,false,false,4,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,Iron Lord's Pride*,,,,,,,,,
Dead End Cure 2.1,2805231813,"""6917529790890996204""",,Legendary,Leg Armor,legendaryengram,Hunter,1550,,Solar Energy Capacity,2,Vault,true,false,false,4,15,,12,2,10,2,6,19,51,0,12,2,10,2,6,19,51,0,combatstyle,,Upgrade Armor*,*,*,*,*,,,,,,
Viperidax Cloak,2820165421,"""6917529772420254418""",,Legendary,Hunter Cloak,drifter,Hunter,1543,,Stasis Cost,2,Vault,true,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Upgrade Armor*,,,,,,,,,,
Viperidax Cloak,2820165421,"""6917529775306860092""",,Legendary,Hunter Cloak,drifter,Hunter,1541,,Arc Energy Capacity,1,Vault,true,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Cloak of Retelling,1915498345,"""6917529790896726714""",,Rare,Hunter Cloak,campaign,Hunter,1549,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Metallic Sunset*,Upgrade Armor*,,,,,,,,,
Viperidax Cloak,2820165421,"""6917529775340837747""",,Legendary,Hunter Cloak,drifter,Hunter,1546,,Arc Energy Capacity,1,Vault,true,false,false,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combatstyle,,Change Energy Type*,,,,,,,,,,
Cloak of Retelling,1915498345,"""6917529775407395512""",,Rare,Hunter Cloak,campaign,Hunter,1548,,Solar Energy Capacity,5,Vault,true,false,false,2,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Metallic Sunset*,Upgrade Armor*,,,,,,,,,
Graviton Forfeit,2773056939,"""6917529745741181659""",,Exotic,Helmet,,Hunter,1524,,Void Energy Capacity,1,Vault,true,false,false,1,2,,7,13,10,20,2,11,63,0,7,13,10,20,2,11,63,0,combatstyle,,Change Energy Type*,*,*,*,*,Vanishing Shadow*,,,,,
