Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Equip,Charge Time,Draw Time,Accuracy,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15
The Last Dance,2009277538,"""6917529552182720826""",,Legendary,Sidearm,strikes,Energy,Arc,1350,,Range,1,Vault,false,false,3,11,,97,75,75,30,12,0,0,94,491,8,36,62,0,0,0,,Omolon Adaptive Frame*,Control SAS*,Shortspec SAS,Tactic SAS,Extended Mag*,Ricochet Rounds,Quickdraw*,Kill Clip*,Vanguard Metallic*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
The Messenger,3658188704,"""6917529513729846064""",,Legendary,Pulse Rifle,trials,KineticSlot,Kinetic,1537,,Range,1,Vault,false,false,4,13,,60,37,33,72,18,0,0,59,340,38,31,46,0,0,0,,High-Impact Frame*,Fluted Barrel*,Smallbore,Armor-Piercing Rounds*,Ricochet Rounds,Heating Up*,Desperado*,Rustberry*,Quick Access Sling*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Bottom Dollar,1046651176,"""6917529610335164750""",,Legendary,Hand Cannon,drifter,Energy,Void,1527,,Handling,2,Vault,false,false,4,13,,95,71,92,65,14,0,0,43,120,25,9,23,0,0,0,,Aggressive Frame*,Extended Barrel*,Full Bore,Steady Rounds*,Flared Magwell,Subsistence*,Rampage*,Rivalry Resolute*,Targeting Adjuster*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Brass Attacks,2121785039,"""6917529790930603254""",,Legendary,Sidearm,seasonpass,Energy,Void,1350,,Accuracy,1,Vault,false,false,4,13,,90,89,56,51,13,0,0,43,325,47,25,41,0,0,0,,Aggressive Burst*,Corkscrew Rifling*,Full Bore,Armor-Piercing Rounds*,Ricochet Rounds,Feeding Frenzy*,Sympathetic Arsenal*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Avalanche,66875353,"""6917529570810227634""",,Legendary,Machine Gun,events,Power,Solar,1350,,Handling,2,Vault,false,false,4,12,The Dawning,70,90,41,58,20,0,0,40,450,42,71,42,0,0,0,,Adaptive Frame*,SRO-41 Ocular*,SLO-21 Post,Extended Mag*,Flared Magwell,Killing Wind*,Vorpal Weapon*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Cartesian Coordinate,2481881293,"""6917529609609241978""",,Legendary,Fusion Rifle,legendaryengram,Energy,Solar,1350,,Stability,1,Vault,false,false,4,13,,52,60,55,27,17,0,0,27,0,46,8,60,500,0,0,,Rapid-Fire Frame*,Red Dot 2 MOA*,Red Dot Micro,Enhanced Battery*,Particle Repeater,Feeding Frenzy*,Snapshot Sights*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Perses-D,1019000888,"""6917529745667629078""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1534,,Range,1,Vault,false,false,5,16,,74,36,67,79,22,0,0,27,150,33,14,46,0,0,0,,High-Impact Frame*,Fluted Barrel*,Smallbore,Accurized Rounds*,Flared Magwell,Perpetual Motion*,Explosive Payload*,Full Auto Retrofit*,Tier 1 Weapon*,Hakke Breach Armaments*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Subzero Salvo,42351395,"""6917529533519732306""",,Legendary,Rocket Launcher,europa,Power,Arc,1350,,Reload Speed,2,Vault,false,false,4,12,,79,61,0,0,20,50,43,29,15,25,1,36,0,0,0,,Precision Frame*,Volatile Launch*,Smart Drift Control,Black Powder*,Implosion Rounds,Killing Wind*,Chain Reaction*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Graviton Lance,3628991658,"""6917529558249011963""",,Exotic,Pulse Rifle,,Energy,Void,1350,,,10,Vault,false,false,1,1,,85,60,29,70,17,0,0,100,257,57,31,49,0,0,0,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Graviton Lance Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Dead Man's Tale,3654674561,"""6917529636221594726""",,Exotic,Scout Rifle,dungeon,KineticSlot,Kinetic,1364,,,,Vault,false,false,4,13,,100,60,67,65,18,0,0,55,120,50,14,35,0,0,0,,Cranial Spike*,Extended Barrel*,Steady Rounds*,Vorpal Weapon*,Fitted Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Enigma's Draw,1723380073,"""6917529584171156909""",,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1350,,Range,3,Vault,false,false,3,10,,90,91,51,57,12,0,0,52,260,20,12,42,0,0,0,,Precision Frame*,Control SAS*,FarPoint SAS,High-Caliber Rounds*,Ricochet Rounds,Opening Shot*,Swashbuckler*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Night Watch,3504336176,"""6917529485967429990""",,Legendary,Scout Rifle,gambitprime,KineticSlot,Kinetic,1541,,Handling,3,Vault,false,false,3,11,,57,69,60,42,20,0,0,40,200,38,19,73,0,0,0,,Lightweight Frame*,Corkscrew Rifling*,Extended Mag*,Overflow*,Explosive Payload*,Precursor Vex Chrome*,Full Auto Retrofit*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Gridskipper,1621558458,"""6917529745746458117""",,Legendary,Pulse Rifle,servitor,Energy,Void,1539,,Range,1,Vault,false,false,4,14,,55,80,23,39,18,0,0,52,540,15,44,32,0,0,0,,Rapid-Fire Frame*,Corkscrew Rifling*,Extended Barrel,Extended Mag*,Ricochet Rounds,Tunnel Vision*,Frenzy*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Widow's Bite,1271343896,"""6917529534490283679""",,Legendary,Sniper Rifle,dungeon,Energy,Solar,1350,,Range,1,Vault,false,false,3,11,,70,69,55,30,45,0,0,45,140,36,7,61,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Extended Barrel,Extended Mag*,Alloy Magazine,Feeding Frenzy*,Opening Shot*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Forge's Pledge,1076810832,"""6917529748727950573""",,Legendary,Pulse Rifle,ironbanner,Energy,Solar,1528,,Handling,1,Vault,false,false,5,16,,61,61,29,48,17,0,0,52,390,42,42,30,0,0,0,,Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Appended Mag*,Alloy Magazine,Zen Moment*,Multikill Clip*,Tier 1 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Vouchsafe,3242168339,"""6917529770731378302""",,Legendary,Scout Rifle,dreaming,Energy,Void,1540,,Range,2,Vault,false,false,4,13,,77,73,60,45,20,0,0,32,200,55,16,73,0,0,0,,Lightweight Frame*,Arrowhead Brake*,Chambered Compensator,Accurized Rounds*,Appended Mag,Fourth Time's the Charm*,Explosive Payload*,Blueshift Dreams*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Redback-5si,1687353095,"""6917529790908356912""",,Legendary,Sidearm,legendaryengram,Energy,Solar,1548,,Stability,3,Vault,false,false,5,16,,89,69,43,30,12,0,0,51,360,53,15,82,0,0,0,,Lightweight Frame*,Fluted Barrel*,Full Bore,Appended Mag*,Alloy Magazine,Tunnel Vision*,Surrounded*,Tier 3 Weapon*,Veist Stinger*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Riiswalker,108221785,"""6917529748596811221""",,Legendary,Shotgun,ironbanner,KineticSlot,Kinetic,1528,,Reload Speed,4,Vault,false,false,5,16,,54,52,65,60,12,0,0,48,80,76,7,71,0,0,0,,Lightweight Frame*,Smoothbore*,Barrel Shroud,Tactical Mag*,Light Mag,Quickdraw*,Killing Wind*,Tier 4 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
SUROS Regime,2856683562,"""6917529528843517297""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1350,,,10,Vault,false,false,1,3,,50,68,21,55,16,0,0,58,600,73,27,64,0,0,0,,SUROS Legacy*,Hammer-Forged Rifling*,Tactical Mag*,Spinning Up,Dual Speed Receiver*,Hand-Laid Stock*,SUROS Regime Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,
Belfry Bounty,2295941920,"""6917529534634824294""",,Legendary,Sniper Rifle,edz,Energy,Arc,1350,1060,,,Vault,false,false,1,2,,52,63,70,58,70,0,0,37,90,20,5,28,0,0,0,,Adaptive Frame*,Zoom 30 Focus*,Zoom 10 Point,Extended Mag*,Armor-Piercing Rounds,Auto-Loading Holster*,Arc Damage Mod*,Masterwork Upgrade*,,,,,,,,
Lord of Wolves,3413860063,"""6917529535303325254""",,Exotic,Shotgun,,Energy,Solar,1350,,,,Vault,false,false,2,4,,90,80,68,20,12,0,0,54,640,60,6,40,0,0,0,,Shrapnel Launcher*,Chambered Compensator*,Extended Mag*,Release the Wolves*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Whispering Slab,211938782,"""6917529563985522010""",,Legendary,Combat Bow,contact,KineticSlot,Kinetic,1500,,Stability,1,Vault,false,false,3,11,,55,75,68,0,18,0,0,54,0,70,0,85,0,576,17,,Lightweight Frame*,Flexible String*,Natural String,Compact Arrow Shaft*,Natural Fletching,Killing Wind*,Unrelenting*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
The Third Axiom,4156253727,"""6917529501976798010""",,Legendary,Pulse Rifle,strikes,Energy,Arc,1350,,Reload Speed,1,Vault,false,false,4,13,,84,66,29,64,18,0,0,65,390,47,36,37,0,0,0,,Adaptive Frame*,Extended Barrel*,Full Bore,Ricochet Rounds*,Light Mag,Rangefinder*,Thresh*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Perses-D,1019000888,"""6917529789853418000""",,Legendary,Scout Rifle,legendaryengram,KineticSlot,Stasis,1547,,Reload Speed,3,Vault,false,false,5,16,,74,36,67,83,22,0,0,27,150,36,14,36,0,0,0,,High-Impact Frame*,Corkscrew Rifling*,Smallbore,Accurized Rounds*,Extended Mag,Shoot to Loot*,Focused Fury*,Tier 3 Weapon*,Hakke Breach Armaments*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Jötunn,417164956,"""6917529602485535739""",,Exotic,Fusion Rifle,ada,Energy,Solar,1350,,,,Vault,false,false,2,5,,77,67,100,47,15,0,0,23,0,23,5,36,820,0,0,,Charge Shot*,Volatile Launch*,Liquid Coils*,Shield Disorient*,Polymer Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Jian 7 Rifle,1162247618,"""6917529528843513345""",,Legendary,Pulse Rifle,legendaryengram,Energy,Arc,1350,,Range,1,Vault,false,false,3,10,,80,64,29,47,17,0,0,45,390,37,39,57,0,0,0,,Adaptive Frame*,SLO-10 Post*,SPO-26 Front,Appended Mag*,Ricochet Rounds,Grave Robber*,Outlaw*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Nature of the Beast,1835747805,"""6917529562470675698""",,Legendary,Hand Cannon,legendaryengram,Energy,Arc,1350,,Reload Speed,2,Vault,false,false,3,11,,80,81,78,46,14,0,0,64,180,27,17,38,0,0,0,,Precision Frame*,TrueSight HCS*,HitMark HCS,Accurized Rounds*,Steady Rounds,Under Pressure*,Demolitionist*,Backup Mag*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,
The Prospector,3549153979,"""6917529537588691965""",,Exotic,Grenade Launcher,,Power,Arc,1350,,,10,Vault,false,false,1,1,,75,60,0,0,13,25,55,45,165,5,8,45,0,0,0,,Excavation*,Volatile Launch*,Augmented Drum*,Full Auto Trigger System*,Hand-Laid Stock*,Prospector Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Hollow Words,607191995,"""6917529610367135340""",,Legendary,Fusion Rifle,contact,Energy,Arc,1537,,"Charge Time, Impact",1,Vault,false,false,3,11,,100,63,80,49,18,0,0,38,0,20,7,33,776,0,0,,Precision Frame*,Arrowhead Brake*,Full Bore,Enhanced Battery*,Projection Fuse,Feeding Frenzy*,Disruption Break*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Ascendancy,725408022,"""6917529490941093632""",,Legendary,Rocket Launcher,crucible,Power,Solar,1350,,Handling,10,Vault,false,false,4,15,,70,61,0,0,20,30,61,52,15,27,1,66,0,0,0,,Precision Frame*,Quick Launch*,Impact Casing*,Impulse Amplifier*,Ambitious Assassin,Explosive Light*,Chain Reaction,Rustberry*,Masterwork*,Tracker Disabled,Kill Tracker,Crucible Tracker*,,,,
Biting Winds,1621657423,"""6917529638718896244""",,Legendary,Combat Bow,campaign,KineticSlot,Kinetic,1409,,Handling,1,Vault,false,false,4,12,,63,66,76,0,18,0,0,63,0,40,0,50,0,684,73,,Precision Frame*,Tactile String*,Natural String,Carbon Arrow Shaft*,Fiberglass Arrow Shaft,Quickdraw*,Snapshot Sights*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Bad Omens,991314988,"""6917529511457884064""",,Legendary,Rocket Launcher,drifter,Power,Void,1350,,Reload Speed,3,Vault,false,false,3,11,,100,34,0,0,20,25,72,27,25,64,1,30,0,0,0,,Aggressive Frame*,Countermass*,Smart Drift Control,Black Powder*,Implosion Rounds,Field Prep*,Cluster Bomb*,Gambit Leather*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Lorentz Driver,3761898871,"""6917529500660043991""",,Exotic,Linear Fusion Rifle,lost,Energy,Void,1350,,,,Vault,false,false,4,15,,100,32,41,38,25,0,0,52,0,28,6,40,533,0,0,,Lagrangian Sight*,Arrowhead Brake*,Enhanced Battery*,EM Anomaly*,Composite Stock*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Madrugada SR2,3906357376,"""6917529751118809954""",,Rare,Scout Rifle,campaign,Energy,Solar,1532,,,,Vault,false,false,2,4,,46,66,60,30,20,0,0,32,200,53,15,74,0,0,0,,Lightweight Frame*,Candle PS*,Impulse MS3,Alloy Magazine*,Explosive Payload*,,,,,,,,,,,
Shayura's Wrath,3682803680,"""6917529513924880978""",,Legendary,Submachine Gun,trials,Energy,Void,1350,,Reload Speed,5,Vault,false,false,4,14,,95,60,25,69,16,0,0,54,600,49,27,47,0,0,0,,Precision Frame*,Chambered Compensator,Polygonal Rifling*,Accurized Rounds*,Tactical Mag,Dynamic Sway Reduction*,Celerity*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Peacebond,829330711,"""6917529772391896085""",,Legendary,Sidearm,ironbanner,KineticSlot,Stasis,1540,,Reload Speed,4,Vault,false,false,5,16,,92,69,75,33,12,0,0,89,491,43,33,65,0,0,0,,Adaptive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Tactical Mag*,Flared Magwell,Subsistence*,Demolitionist*,Tier 4 Weapon*,Skulking Wolf*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Forerunner,2179048386,"""6917529558168714892""",,Exotic,Sidearm,30th,KineticSlot,Kinetic,1350,,,,Vault,false,false,4,15,,96,60,35,100,20,0,0,87,200,95,15,65,0,0,0,,Full Stop*,Smallbore*,Flared Magwell*,Pace Yourself*,Smooth Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
The Other Half,3257091167,"""6917529676324816740""",,Legendary,Sword,30th,Power,Void,1507,,Impact,1,Vault,false,false,4,15,,0,0,60,0,0,0,0,0,0,0,65,0,0,0,0,,Adaptive Frame*,Hungry Edge*,Honed Edge,Tempered Edge,Burst Guard*,Swordmaster's Guard,Energy Transfer*,Whirlwind Blade*,Tier 1 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,
Bonechiller,4037745684,"""6917529638150033182""",,Legendary,Shotgun,europa,Energy,Void,1388,,Handling,1,Vault,false,false,4,12,,60,61,70,66,12,0,0,41,65,42,6,37,0,0,0,,Pinpoint Slug Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Appended Mag*,Accurized Rounds,Triple Tap*,Threat Detector*,Icarus Grip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Merciless,4190156464,"""6917529479083366655""",,Exotic,Fusion Rifle,,Energy,Solar,1350,,,10,Vault,false,false,1,1,,94,69,75,39,15,0,0,52,0,23,8,31,1000,0,0,,Conserve Momentum*,Chambered Compensator*,Extended Mag*,Impetus*,Fitted Stock*,Merciless Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,
Falling Guillotine,614426548,"""6917529551855428533""",,Legendary,Sword,seasonpass,Power,Void,1350,,Impact,1,Vault,false,false,3,11,,0,0,60,0,0,0,0,0,0,0,63,0,0,0,0,,Vortex Frame*,Hungry Edge*,Honed Edge,Tempered Edge,Enduring Guard*,Swordmaster's Guard,Tireless Blade*,Whirlwind Blade*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Philippis-B,3383958218,"""6917529775401257609""",,Rare,Submachine Gun,campaign,KineticSlot,Kinetic,1547,,,,Vault,false,false,2,4,,85,50,25,59,13,0,0,33,600,12,26,29,0,0,0,,Precision Frame*,GA Post*,GB Iron,Accurized Rounds*,Dynamic Sway Reduction*,,,,,,,,,,,
Harsh Language,2936850733,"""6917529652392849468""",junk,Rare,Grenade Launcher,campaign,Energy,Arc,1495,,,,Vault,false,false,1,1,,60,75,0,0,13,0,80,34,90,68,1,65,0,0,0,,Lightweight Frame*,Linear Compensator*,Quick Launch,Hard Launch,Blinding Grenades*,Concussion Grenades,Field Prep*,Arc Damage Mod*,Dead Zone Foliage (Worn)*,,,,,,,
Servant Leader,1107446438,"""6917529772397286130""",,Legendary,Scout Rifle,drifter,KineticSlot,Kinetic,1545,,Range,2,Vault,false,false,4,15,,64,67,45,36,26,0,0,52,260,29,17,13,0,0,0,,Rapid-Fire Frame*,Chambered Compensator*,Extended Barrel,Accurized Rounds*,Extended Mag,Surplus*,Thresh*,Tier 2 Weapon*,Invader Tracker*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Retraced Path,548958835,"""6917529599322280922""",keep,Legendary,Trace Rifle,30th,Energy,Solar,1512,,Range,1,Vault,false,false,4,15,,94,100,6,70,16,0,0,90,1000,45,94,51,0,0,0,,Adaptive Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Particle Repeater*,Light Battery,Subsistence*,Golden Tricorn*,Bloody Tooth*,Tier 1 Weapon*,Tracker Disabled*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Empty Memento Socket*,*,
Cerberus+1,1541131350,"""6917529745741181125""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1521,,,,Vault,false,false,2,4,,86,60,33,25,16,0,0,20,360,35,31,27,0,0,0,,Four-Headed Dog*,Rifled Barrel*,Fluted Barrel*,Full Bore*,Spread Shot Package*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
High Albedo,1197486957,"""6917529638812902404""",,Legendary,Sidearm,europa,KineticSlot,Kinetic,1413,,Reload Speed,5,Vault,false,false,4,12,,99,71,80,31,12,0,0,74,491,35,33,66,0,0,0,,Adaptive Frame*,Fluted Barrel*,Smallbore,Appended Mag*,Flared Magwell,Killing Wind*,High-Impact Reserves*,Tier 5 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Imperial Needle,3460122497,"""6917529676231559527""",,Legendary,Combat Bow,battlegrounds,Energy,Void,1350,,"Draw Time, Charge Time",1,Vault,false,false,4,13,,52,80,68,0,19,0,0,57,0,60,0,73,0,608,32,,Lightweight Frame*,Natural String*,Polymer String,Carbon Arrow Shaft*,Compact Arrow Shaft,Hip-Fire Grip*,Swashbuckler*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,
Telesto,2208405142,"""6917529498276830314""",,Exotic,Fusion Rifle,,Energy,Void,1350,,,10,Vault,false,false,1,2,,66,46,85,35,20,0,0,79,0,80,4,62,820,0,0,,Unplanned Reprieve*,Projection Fuse*,Harbinger's Pulse*,Polymer Grip*,Telesto Catalyst*,Tracker Disabled*,Kill Tracker,Crucible Tracker,,,,,,,,
Trax Lysis II,3906357377,"""6917529740266046315""",,Rare,Scout Rifle,campaign,KineticSlot,Kinetic,1519,,,,Vault,false,false,2,4,,67,27,67,62,26,0,0,30,150,29,11,18,0,0,0,,High-Impact Frame*,Focus Lens FLS2*,Quickdraw IS,Steady Rounds*,Full Auto Trigger System*,,,,,,,,,,,
Seventh Seraph SI-2,3937866388,"""6917529676306659973""",,Legendary,Sidearm,rasputin,Energy,Void,1507,,Range,3,Vault,false,false,3,10,,100,68,43,18,12,0,0,51,360,57,15,61,0,0,0,,Lightweight Frame*,Chambered Compensator*,Corkscrew Rifling,Tactical Mag*,Steady Rounds,Hip-Fire Grip*,Zen Moment*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Malfeasance,204878059,"""6917529775385318214""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1547,,,,Vault,false,false,2,4,,98,50,78,45,14,0,0,95,180,60,14,24,0,0,0,,Explosive Shadow*,Corkscrew Rifling*,Extended Mag*,Taken Predator*,Heavy Grip*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
The Lament,3487253372,"""6917529642884005645""",,Exotic,Sword,europa,Power,Solar,1456,,,,Vault,false,false,4,12,,0,0,78,0,0,0,0,0,0,0,58,0,0,0,0,,Banshee's Wail*,Jagged Edge*,Enduring Guard*,Tireless Blade*,Revved Consumption*,Tracker Disabled*,Kill Tracker,Crucible Tracker,Empty Catalyst Socket*,,,,,,,
Stochastic Variable,2272470786,"""6917529538261273771""",,Legendary,Submachine Gun,legendaryengram,Energy,Arc,1350,,Handling,2,Vault,false,false,4,14,,100,52,15,33,14,0,0,45,900,27,38,47,0,0,0,,Lightweight Frame*,Chambered Compensator*,Full Bore,Appended Mag*,High-Caliber Rounds,Phase Magazine,Zen Moment*,Multikill Clip*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Truthteller,1946491241,"""6917529560071239911""",,Legendary,Grenade Launcher,legendaryengram,Energy,Void,1508,,Reload Speed,2,Vault,false,false,3,11,,70,79,0,0,13,0,89,8,90,73,1,69,0,0,0,,Lightweight Frame*,Hard Launch*,Smart Drift Control,Blinding Grenades*,Implosion Rounds,Auto-Loading Holster*,Demolitionist*,Tier 2 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
The Title,294129361,"""6917529758349682679""",,Legendary,Submachine Gun,events,Energy,Void,1537,,Stability,4,Vault,false,false,5,16,Guardian Games,85,32,22,50,15,0,0,29,750,23,28,53,0,0,0,,Aggressive Frame*,Corkscrew Rifling*,Fluted Barrel,Armor-Piercing Rounds*,Flared Magwell,Stats for All*,One for All*,Tier 4 Weapon*,Classy Contender*,Hakke Breach Armaments,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Occluded Finality,852551895,"""6917529579049136655""",,Legendary,Sniper Rifle,ironbanner,Energy,Arc,1511,,Reload Speed,1,Vault,false,false,4,14,,87,47,90,75,58,0,0,39,72,35,3,25,0,0,0,,Aggressive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Alloy Magazine*,Armor-Piercing Rounds,Under Pressure*,Demolitionist*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
The Keening,409551876,"""6917529740245722857""",,Legendary,Sidearm,crucible,Energy,Arc,1517,,Handling,3,Vault,false,false,4,13,,100,83,49,38,12,0,0,71,300,25,18,48,0,0,0,,Adaptive Frame*,Chambered Compensator*,Corkscrew Rifling,Appended Mag*,High-Caliber Rounds,Surplus*,Snapshot Sights*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
Redback-5si,1687353095,"""6917529745560436832""",,Legendary,Sidearm,legendaryengram,Energy,Solar,1520,,Handling,1,Vault,false,false,5,16,,99,69,43,30,12,0,0,58,360,63,15,63,0,0,0,,Lightweight Frame*,Chambered Compensator*,Fluted Barrel,Tactical Mag*,Steady Rounds,Stats for All*,Surrounded*,Cargulo Bristle*,Tier 1 Weapon*,Veist Stinger*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Herod-C,1788603939,"""6917529775340835216""",,Legendary,Auto Rifle,drifter,KineticSlot,Stasis,1546,,Range,1,Vault,false,false,5,16,,86,61,33,95,19,0,0,27,360,38,33,20,0,0,0,,High-Impact Frame*,Extended Barrel*,Full Bore,Armor-Piercing Rounds*,Ricochet Rounds,Perpetual Motion*,Elemental Capacitor*,Tier 1 Weapon*,Invader Tracker*,Hakke Breach Armaments,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,
Khvostov 7G-02,1619016919,"""6917529551961902561""",,Common,Auto Rifle,campaign,KineticSlot,Kinetic,1350,,,,Vault,false,false,3,8,,70,48,21,12,15,0,0,30,600,52,40,32,0,0,0,,Adaptive Frame*,,,,,,,,,,,,,,,
Legal Action II,3409645497,"""6917529539467809724""",keep,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1350,,Handling,3,Vault,false,false,4,15,,70,32,33,72,22,0,0,53,340,43,31,27,0,0,0,,High-Impact Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Tactical Mag*,Extended Mag,Heating Up*,Adrenaline Junkie*,Golden Trace*,Tier 3 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Dead Weight,3738678140,"""6917529775374406590""",,Legendary,Shotgun,drifter,Energy,Arc,1547,,Range,2,Vault,false,false,5,17,,70,66,65,45,12,0,0,30,140,64,8,37,0,0,0,,Rapid-Fire Frame*,Smoothbore*,Barrel Shroud,Appended Mag*,Extended Mag,Well-Rounded*,Swashbuckler*,Tier 2 Weapon*,Invader Tracker*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,
Eternal Blazon,3514096004,"""6917529602201847694""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1350,,Reload Speed,1,Vault,false,false,4,13,,52,67,60,43,25,0,0,34,200,38,19,57,0,0,0,,Lightweight Frame*,Transmission MS7*,Spark PS,Extended Mag*,Appended Mag,Killing Wind*,Kill Clip*,Tier 1 Weapon*,Tracker Disabled*,Kill Tracker,Crucible Tracker,*,,,,
